ST_MONTH;AREA;COMPETENCY;HOURLY WORKLOAD
M2018_05;AREA 10;LOCALTEST 62;706.6
M2018_05;AREA 10;LOCALTEST 63;204.86
M2018_05;AREA 10;LOCALTEST 64;159.44
M2018_05;AREA 10;LOCALTEST 65;53.25
M2018_05;AREA 10;LOCALTEST 66;333.8
M2018_05;AREA 10;LOCALTEST 67;0
M2018_05;AREA 10;LOCALTEST 68;663.57
M2018_05;AREA 10;LOCALTEST 69;948.61
M2018_05;AREA 10;LOCALTEST 70;720.31
M2018_05;AREA 10;LOCALTEST 71;0.93
M2018_05;AREA 10;LOCALTEST 72;449.8
M2018_05;AREA 10;LOCALTEST 73;50.64
M2018_05;AREA 10;LOCALTEST 74;53.23
M2018_05;AREA 14;LOCALTEST 75;185.36
M2018_05;AREA 14;LOCALTEST 76;84.22
M2018_05;AREA 14;LOCALTEST 77;3.47
M2018_05;AREA 14;LOCALTEST 78;38.33
M2018_05;AREA 14;LOCALTEST 79;6.85
M2018_05;AREA 14;LOCALTEST 80;20
M2018_05;AREA 14;LOCALTEST 81;5.72
M2018_05;AREA 14;LOCALTEST 82;1.6
M2018_05;AREA 14;LOCALTEST 83;0.32
M2018_05;AREA 14;LOCALTEST 84;2.28
M2018_05;AREA 14;LOCALTEST 85;14.52
M2018_05;AREA 14;LOCALTEST 86;11.36
M2018_05;AREA 14;LOCALTEST 87;16.02
M2018_05;AREA 15;LOCALTEST 88;367.31
M2018_05;AREA 15;LOCALTEST 89;253.97
M2018_05;AREA 15;LOCALTEST 90;20.88
M2018_05;AREA 15;LOCALTEST 91;13.09
M2018_05;AREA 15;LOCALTEST 92;14
M2018_05;AREA 15;LOCALTEST 93;23.16
M2018_05;AREA 15;LOCALTEST 94;5.19
M2018_05;AREA 15;LOCALTEST 95;2.56
M2018_05;AREA 15;LOCALTEST 96;79.85
M2018_05;AREA 7;LOCALTEST 97;706.12
M2018_05;AREA 7;LOCALTEST 98;0
M2018_05;AREA 7;LOCALTEST 99;0
M2018_05;AREA 16;LOCALTEST 100;141.73
M2018_05;AREA 16;LOCALTEST 101;638.88
M2018_05;AREA 16;LOCALTEST 102;81.36
M2018_05;AREA 16;LOCALTEST 103;114.1
M2018_05;AREA 16;LOCALTEST 104;45.35
M2018_05;AREA 16;LOCALTEST 105;0
M2018_05;AREA 16;LOCALTEST 106;31.81
M2018_05;AREA 16;LOCALTEST 107;0.41
M2018_05;AREA 1;LOCALTEST 108;441.55
M2018_05;AREA 1;LOCALTEST 109;463.57
M2018_05;AREA 1;LOCALTEST 110;241.6
M2018_05;AREA 1;LOCALTEST 111;253.75
M2018_05;AREA 1;LOCALTEST 112;155.56
M2018_05;AREA 1;LOCALTEST 113;142.63
M2018_05;AREA 1;LOCALTEST 114;103.24
M2018_05;AREA 1;LOCALTEST 115;83.64
M2018_05;AREA 1;LOCALTEST 116;45.88
M2018_05;AREA 1;LOCALTEST 117;0.67
M2018_05;AREA 1;LOCALTEST 118;0
M2018_05;AREA 6;LOCALTEST 119;719.43
M2018_05;AREA 6;LOCALTEST 120;779.33
M2018_05;AREA 6;LOCALTEST 121;781.9
M2018_05;AREA 6;LOCALTEST 122;319.48
M2018_05;AREA 6;LOCALTEST 123;304.26
M2018_05;AREA 6;LOCALTEST 124;255.19
M2018_05;AREA 6;LOCALTEST 125;299.73
M2018_05;AREA 6;LOCALTEST 126;292.05
M2018_05;AREA 6;LOCALTEST 127;123.24
M2018_05;AREA 6;LOCALTEST 128;152.84
M2018_05;AREA 6;LOCALTEST 129;113.68
M2018_05;AREA 6;LOCALTEST 130;99.56
M2018_05;AREA 6;LOCALTEST 131;0
M2018_05;AREA 6;LOCALTEST 132;22.24
M2018_05;AREA 6;LOCALTEST 133;400.56
M2018_05;AREA 6;LOCALTEST 134;1.36
M2018_05;AREA 6;LOCALTEST 135;11.2
M2018_05;AREA 11;LOCALTEST 136;953.99
M2018_05;AREA 11;LOCALTEST 137;416.21
M2018_05;AREA 11;LOCALTEST 138;198.56
M2018_05;AREA 11;LOCALTEST 139;138.64
M2018_05;AREA 11;LOCALTEST 140;39.73
M2018_05;AREA 11;LOCALTEST 141;0
M2018_05;AREA 11;LOCALTEST 142;65.93
M2018_05;AREA 11;LOCALTEST 143;192.44
M2018_05;AREA 11;LOCALTEST 144;1.36
M2018_05;AREA 11;LOCALTEST 145;3.24
M2018_05;AREA 11;LOCALTEST 146;0
M2018_05;AREA 17;LOCALTEST 147;221.71
M2018_05;AREA 17;LOCALTEST 148;434.75
M2018_05;AREA 17;LOCALTEST 149;13.28
M2018_05;AREA 17;LOCALTEST 150;0
M2018_05;AREA 17;LOCALTEST 151;0
M2018_05;AREA 18;LOCALTEST 152;132
M2018_05;AREA 18;LOCALTEST 153;0
M2018_05;AREA 18;LOCALTEST 154;71.2
M2018_05;AREA 18;LOCALTEST 155;2047.84
